grid_id,LDAC_suitability_elec,LDAC_suitability_gas,LDAC combined
852cb6cbfffffff,0,0,0
852cb6cffffffff,3.8,0,3.8
852cb6d3fffffff,0,0,0
852cb6d7fffffff,0,0,0
852cb6dbfffffff,0,0,0
852d9003fffffff,0,0,0
852d9007fffffff,0,0,0
852d900bfffffff,0,0,0
852d900ffffffff,0,0,0
852d9013fffffff,0,0,0
852d9017fffffff,0,0,0
852d901bfffffff,0,0,0
852d9023fffffff,0,0,0
852d9027fffffff,0,0,0
852d902bfffffff,0,0,0
852d902ffffffff,0,0,0
852d9033fffffff,0,0,0
852d9037fffffff,0,0,0
852d903bfffffff,0,0,0
852d9043fffffff,0,0,0
852d9047fffffff,0,0,0
852d904bfffffff,0,0,0
852d904ffffffff,0,0,0
852d9057fffffff,0,0,0
852d905bfffffff,0,0,0
852d9063fffffff,0,0,0
852d9067fffffff,0,0,0
852d906bfffffff,0,0,0
852d906ffffffff,0,0,0
852d9073fffffff,0,0,0
852d9077fffffff,0,0,0
852d907bfffffff,0,0,0
852d9083fffffff,0,0,0
852d9087fffffff,0,0,0
852d908bfffffff,0,0,0
852d908ffffffff,0,0,0
852d9093fffffff,0,0,0
852d9097fffffff,0,0,0
852d909bfffffff,2.2,0,2.2
852d90a3fffffff,0,0,0
852d90a7fffffff,0,0,0
852d90abfffffff,0,0,0
852d90affffffff,0,0,0
852d90b3fffffff,0,0,0
852d90b7fffffff,0,0,0
852d90bbfffffff,0,0,0
852d90c7fffffff,0,0,0
852d9103fffffff,2.6,0,2.6
852d9107fffffff,2.6,0,2.6
852d910bfffffff,0,0,0
852d910ffffffff,2.6,0,2.6
852d9113fffffff,0,0,0
852d9117fffffff,2.2,0,2.2
852d911bfffffff,0,0,0
852d9123fffffff,1.8,0,1.8
852d9127fffffff,1.4,0,1.4
852d912bfffffff,1.8,0,1.8
852d912ffffffff,1.4,0,1.4
852d9133fffffff,2.2,0,2.2
852d9137fffffff,1.8,0,1.8
852d913bfffffff,2.2,0,2.2
852d9143fffffff,0,0,0
852d9147fffffff,0,0,0
852d914bfffffff,0,0,0
852d914ffffffff,0,0,0
852d9153fffffff,0,0,0
852d9157fffffff,0,0,0
852d915bfffffff,0,0,0
852d9163fffffff,1.8,0,1.8
852d9167fffffff,1.8,0,1.8
852d916bfffffff,1.8,0,1.8
852d916ffffffff,1.8,0,1.8
852d9173fffffff,2.2,0,2.2
852d9177fffffff,2.2,0,2.2
852d917bfffffff,2.2,0,2.2
852d918bfffffff,0,0,0
852d91c3fffffff,0,0,0
852d91c7fffffff,0,0,0
852d91cbfffffff,0,0,0
852d91cffffffff,0,0,0
852d91d3fffffff,0,0,0
852d91d7fffffff,0,0,0
852d91dbfffffff,0,0,0
852d9203fffffff,0,0,0
852d9207fffffff,0,0,0
852d920bfffffff,0,0,0
852d920ffffffff,0,0,0
852d9213fffffff,0,0,0
852d9217fffffff,0,0,0
852d921bfffffff,0,0,0
852d9223fffffff,0,0,0
852d9227fffffff,0,0,0
852d922bfffffff,0,0,0
852d922ffffffff,0,0,0
852d9233fffffff,0,0,0
852d9237fffffff,0,0,0
852d923bfffffff,0,0,0
852d9243fffffff,0,0,0
852d9247fffffff,0,0,0
852d924bfffffff,0,0,0
852d924ffffffff,0,0,0
852d9253fffffff,0,0,0
852d9257fffffff,0,0,0
852d925bfffffff,0,0,0
852d9263fffffff,0,0,0
852d9267fffffff,0,0,0
852d926bfffffff,0,0,0
852d926ffffffff,0,0,0
852d9273fffffff,0,0,0
852d9277fffffff,0,0,0
852d927bfffffff,0,0,0
852d9283fffffff,0,0,0
852d9287fffffff,0,0,0
852d928bfffffff,0,0,0
852d928ffffffff,0,0,0
852d9293fffffff,0,0,0
852d9297fffffff,0,0,0
852d929bfffffff,0,0,0
852d92a3fffffff,0,0,0
852d92a7fffffff,0,0,0
852d92abfffffff,0,0,0
852d92affffffff,0,0,0
852d92b3fffffff,0,0,0
852d92b7fffffff,0,0,0
852d92bbfffffff,0,0,0
852d92c3fffffff,0,0,0
852d92c7fffffff,0,0,0
852d92cbfffffff,0,0,0
852d92cffffffff,0,0,0
852d92d3fffffff,0,0,0
852d92d7fffffff,0,0,0
852d92dbfffffff,0,0,0
852d9303fffffff,0,0,0
852d9307fffffff,0,0,0
852d930bfffffff,0,0,0
852d930ffffffff,0,0,0
852d9313fffffff,0,0,0
852d9317fffffff,0,0,0
852d931bfffffff,0,0,0
852d9323fffffff,1.4,0,1.4
852d9327fffffff,1.4,0,1.4
852d932bfffffff,1.8,0,1.8
852d932ffffffff,1.4,0,1.4
852d9333fffffff,0,0,0
852d9337fffffff,0,0,0
852d933bfffffff,1.4,0,1.4
852d9343fffffff,0,0,0
852d9347fffffff,0,0,0
852d934bfffffff,0,0,0
852d934ffffffff,0,0,0
852d9353fffffff,0,0,0
852d9357fffffff,0,0,0
852d935bfffffff,0,0,0
852d9363fffffff,1.8,0,1.8
852d9367fffffff,1.8,0,1.8
852d936bfffffff,2.2,0,2.2
852d936ffffffff,2.2,0,2.2
852d9373fffffff,0,0,0
852d9377fffffff,1.8,0,1.8
852d937bfffffff,1.8,0,1.8
852d9383fffffff,0,0,0
852d9387fffffff,0,0,0
852d938bfffffff,0,0,0
852d938ffffffff,0,0,0
852d9393fffffff,0,0,0
852d9397fffffff,0,0,0
852d939bfffffff,0,0,0
852d93a3fffffff,0,0,0
852d93a7fffffff,1.4,0,1.4
852d93abfffffff,0,0,0
852d93affffffff,0,0,0
852d93b3fffffff,0,0,0
852d93b7fffffff,1.8,0,1.8
